,Model,Training Accuracy,Validation Accuracy,Test Accuracy,Build Time,Classification Time
0,DecisionTreeBOW,1.0,0.7113412436484765,0.7181196281354149,175.25061011314392,0.9208950996398926
1,DecisionTreeDF,0.9785106455245112,0.6583195148032326,0.6679529907033853,0.12938284873962402,0.004678249359130859
2,DecisionTreeBoth,1.0,0.7443642706854837,0.7488159971934748,34.701316118240356,1.421294927597046
3,RandomForestBOW,0.9999890362898805,0.7593195744238914,0.7675846342746887,243.72416591644287,2.31767201423645
4,RandomForestDF,0.9784996812133441,0.738180675598226,0.7461848798456411,2.214948892593384,0.13891816139221191
5,RandomForestBoth,1.0,0.819050675636691,0.8249429924574636,171.93165588378906,2.166049003601074
